id,Subject,YearGroup,Term1Knowledge,Term1Skills,Term2Knowledge,Term2Skills,Term3Knowledge,Term3Skills,Term4Knowledge,Term4Skills,Term5Knowledge,Term5Skills,Term6Knowledge,Term6Skills,Assessment,LiteracyNumeracy,PersonalDevelopment,HomeLearning,Term1Assessment,Term2Assessment,Term3Assessment,Term4Assessment,Term5Assessment,Term6Assessment
98,Maths,Year 9,"Number: Recall Times tables, Bidmas, Place value, Multiply numbers by single digit, Add and subtract numbers with up to 4 digits, Square numbers, Cube numbers, Negative numbers on scales, 4 rules with negatives, Short division, Factors, Long multiplication and division, Rounding, Prime numbers, Multiply and divide by powers of 10.",,,,,,,,,,,,,,,,,,,,,
99,Entry Level Functional Skills Maths,Year 9,"Read, write, order and numbers: Recognise and continue linear sequences of numbers. Recognise and interpret these symbols; +",,,,,,,,,,,,,,,,,,,,,
100,Geography,Year 9,Our Restless Planet: Name and describe Earth’s layers. Explain what a plate is,,,,,,,,,,,,,,,,,,,,,
101,History,Year 9,"Overview/The Early C20th: The key events and key figures from the C20th. The life of rich and poor in the Early C20th."" How and why suffragettes and suffragists campaigned for equality."" Debates around why the Titanic sank."" Use the internet for historical research."" Evaluate sources and interpretations."" Understand historical significance.",,,,,,,,,,,,,,,,,,,,,
102,Physical Education,Year 9,"Sports Leadership. Outdoor and Adventurous Activities: Pupils will further develop the skills necessary to compete and achieve in a number of outdoor and adventurous events."" They will build on experience at a range of activities demonstrating continued leadership skills."" In all tasks",,,,,,,,,,,,,,,,,,,,,
103,Swimming,Year 9,Pupils learn how to develop performance of different swimming strokes. Front crawl,,,,,,,,,,,,,,,,,,,,,
104,PSHE,Year 9,"Peer Influence, substance use and gangs: How to distinguish between healthy and unhealthy friendships. How to assess risk and manage influences",,,,,,,,,,,,,,,,,,,,,
105,Citizenship,Year 9,Crime and Law: What are laws,,,,,,,,,,,,,,,,,,,,,
106,RE,Year 9,"The Young Philosopher’s Course Vol.1: To understand the connections between philosophy, ethics and religion. To be able to name key thinkers and outline their theories."" To critically evaluate philosophical arguments.",,,,,,,,,,,,,,,,,,,,,
107,Science (GCSE pathway),Year 9,"Completion of KS3 curriculum: Compare the reactions of different metals with acids, oxygen and water. Use the reactivity series to predict displacement reactions."" Describe how some metals are extracted from their ores using carbon."" Describe the properties of ceramics",,,,,,,,,,,,,,,,,,,,,
108,Resistant Materials,Year 9,"Clock Project designing including history: To use research and exploration, such as the study of different cultures, to identify and understand user needs. To identify and solve their own design problems."" To develop specifications to inform the design of functional",,,,,,,,,,,,,,,,,,,,,
1,Computing,Year 1,Technology around us,Ordering numbers,,,,,,,,,,,,Listening for meaning in non-fiction texts,Impact of technology on society,,,,,,,
2,Computing,Year 1,,,Digital painting,Shapes,,,,,,,,,,Describing images,Expressing emotions and feelings,,,,,,,
3,Computing,Year 1,,,,,Moving a robot,Small numbers,,,,,,,,Instructions,Using technology responsibly,,,,,,,
4,Computing,Year 1,,,,,,,Grouping data,Grouping by criteria,,,,,,Explaining thoughts,Sharing information with others in a constructive way,,,,,,,
5,Computing,Year 1,,,,,,,,,Digital writing,Counting,,,,Writing simple words,Communication with others,,,,,,,
6,Computing,Year 1,,,,,,,,,,,Programming animations,Logic,,Sequencing,Representing diversity in animations,,,,,,,
7,Computing,Year 2,Information technology around us,Ordering numbers,,,,,,,,,,,,Listening for meaning in non-fiction texts,Digital divide,,,,,,,
8,Computing,Year 2,,,Digital photography,Shapes,,,,,,,,,,Describing images,Personal choices,,,,,,,
9,Computing,Year 2,,,,,Robot algorithms,Sequencing,,,,,,,,Describing and explaining concepts,Using technology responsibly,,,,,,,
10,Computing,Year 2,,,,,,,Pictograms,Graphs and charts,,,,,,Writing explanation texts,Sharing information with others in a constructive way,,,,,,,
11,Computing,Year 2,,,,,,,,,Making music,Time calculations,,,,Creating sequences,Using art to communicate emotions,,,,,,,
12,Computing,Year 2,,,,,,,,,,,Programming quizzes,Logic,,Writing questions and answers,Making games accessible to all,,,,,,,
13,Computing,Year 3,Connecting computers,Ordering numbers,,,,,,,,,,,,Listening for meaning in non-fiction texts. Explaining ideas,Communicating safely,,,,,,,
14,Computing,Year 3,,,Stop-frame animation,Time calculations,,,,,,,,,,Creating and following a storyboard. Using direct speech,Representing diversity in animations,,,,,,,
15,Computing,Year 3,,,,,Sequencing sounds,Time calculations,,,,,,,,Creating sequences,Using art to communicate emotions,,,,,,,
16,Computing,Year 3,,,,,,,Branching databases,Graphs and charts,,,,,,Writing explanation texts,Sharing information with others in a constructive way,,,,,,,
17,Computing,Year 3,,,,,,,,,Desktop publishing,Measurements,,,,Creating non-fiction texts to clearly communicate a message,Responsibility to represent data accurately,,,,,,,
18,Computing,Year 3,,,,,,,,,,,Events and actions in programs,Logic and adding,,Describing and explaining concepts. Sequencing,Using technology to communicate a message honestly,,,,,,,
19,Computing,Year 4,The Internet,Understanding large numbers,,,,,,,,,,,,"Reading for meaning, non-fiction texts",Safe communication and respecting differences,,,,,,,
20,Computing,Year 4,,,Audio editing,Time calculations,,,,,,,,,,Creating and reading scripts,Respectfully expressing emotions in art,,,,,,,
21,Computing,Year 4,,,,,Repetition in shapes,Shapes and angles,,,,,,,,Describing pictures,Understand the impact algorithms can have,,,,,,,
22,Computing,Year 4,,,,,,,Data logging,Graphs and charts,,,,,,Writing explanation texts,Respecting privacy when collecting data,,,,,,,
23,Computing,Year 4,,,,,,,,,Photo editing,x and y co-ordinates,,,,Reading and understanding instructions,Responsibility to represent data accurately,,,,,,,
24,Computing,Year 4,,,,,,,,,,,Repetition in games,Logic and adding,,Describing and explaining concepts,Respecting other's ownership of work,,,,,,,
25,Computing,Year 5,Sharing information,Understanding large numbers,,,,,,,,,,,,"Reading for meaning, non-fiction texts",Safe communication and respecting differences,,,,,,,
26,Computing,Year 5,,,Video editing,Time calculations,,,,,,,,,,Creating and reading scripts,Communicating respectfully,,,,,,,
27,Computing,Year 5,,,,,Selection in physical computing,Logic and adding,,,,,,,,Describing and explaining concepts,Respecting other's ownership of work,,,,,,,
28,Computing,Year 5,,,,,,,Flat-file databases,Types of numbers,,,,,,Exploring non-fiction texts,Understand the impact that algorithms can have,,,,,,,
29,Computing,Year 5,,,,,,,,,Vector drawing,x and y co-ordinates,,,,Reading and understanding instructions,Respecting privacy when collecting data,,,,,,,
30,Computing,Year 5,,,,,,,,,,,Selection in quizzes,Logic,,Writing questions and answers,Responsibility to represent data accurately,,,,,,,
31,Computing,Year 6,Internet communication,Understanding large numbers,,,,,,,,,,,,"Reading for meaning, non-fiction texts",Safe communication and respecting differences opinions,,,,,,,
32,Computing,Year 6,,,Webpage creation,Understanding large numbers,,,,,,,,,,"Writing for meaning, non-fiction texts",Communicating respectfully,,,,,,,
33,Computing,Year 6,,,,,Variables in games,Logic and arithmetic,,,,,,,,Describing and explaining concepts,Safe communication and respecting differences opinions,,,,,,,
34,Computing,Year 6,,,,,,,Introduction to spreadsheets,Types of numbers,,,,,,Exploring non-fiction texts,Communicating respectfully,,,,,,,
35,Computing,Year 6,,,,,,,,,3D modelling,Charts and graphs,,,,Reading and understanding instructions,Understand the need for accessibility in games,,,,,,,
36,Computing,Year 6,,,,,,,,,,,Sensing,Logic and adding,,Describing and explaining concepts,Respecting privacy when collecting data,,,,,,,
37,Computing,Year 7,Impact of technology – Collaborating online respectfully,Statistics and presenting data,,,,,,,,,,,,"Persuasive texts, precise writing, non fiction writing, writing for meaning",Online bullying- Online relationships- Privacy and security,,,,,,,
38,Computing,Year 7,,,Using computers to present information to a specific audience,Number bases,,,,,,,,,,Communion skills,Privacy and security,,,,,,,
39,Computing,Year 7,,,,,Networks from semaphores to the Internet,Shapes and proportions,,,,,,,,"Persuasive texts, reading for meaning",Copyright and ownership- Managing online information,,,,,,,
40,Computing,Year 7,,,,,,,Protocols and hardware Wired and wireless networks,Logic and operations,,,,,,Precise writing and writing instructions,The affect that computer programs can have on individuals,,,,,,,
41,Computing,Year 7,,,,,,,,,Using media – Gaining support for a cause,Logic and operations,,,,Precise writing and writing instructions Editing,The affect that computer programs can have on individuals,,,,,,,
42,Computing,Year 7,,,,,,,,,,,Using appropriate software Copyright Using computers for research,Data and statistics,,Reading for meaning and exploring the author's intention,Taking responsibility for data,,,,,,,
43,Computing,Year 8,Developing for the web,Shapes and positions,,,,,,,,,,,,"Non-fiction texts, reading for meaning and following instructions",Access to the internet for others,,,,,,,
44,Computing,Year 8,,,How to construct a web page How to use the WWW effectively,Number bases,,,,,,,,,,Reading and writing non-fiction texts,ASCII and limited character sets (English only),,,,,,,
45,Computing,Year 8,,,,,Representations – from clay to silicon Binary and data representation Storage on computers,Shapes and position,,,,,,,,Writing instructional texts Creating texts for a defined audience,How apps can gather data and affect users actions,,,,,,,
46,Computing,Year 8,,,,,,,Mobile app development Defining apps Designing and implementing an app,Shapes and position,,,,,,Writing and interpreting instructions,How different media can be used to change opinions,,,,,,,
47,Computing,Year 8,,,,,,,,,Media – Vector graphics Defining vector graphics Creating and editing vector graphics,Logic and mathematical operations,,,,Non-fiction texts Reading for meaning,Environmental impact of computers,,,,,,,
48,Computing,Year 8,,,,,,,,,,,Computing systems Parts of a computer system Logic in computer systems Sharing data between computers,Logic and mathematical operations,,Precise instructions and structure of texts,The effect that programs have on people,,,,,,,
49,Computing,Year 9,"Python programming with sequences of data Sequencing, variables, selection and loops",Logic and mathematical operations,,,,,,,,,,,,Precise instructions and structure of texts,The effect that programs have on people,,,,,,,
50,Computing,Year 9,,,Media – Animations Types of animation Models and colours Lights and cameras,Shapes and position,,,,,,,,,,Writing and interpreting instructions Structure of narrative stories,How different media can be used to change opinions and is influenced by cultural background,,,,,,,
51,Computing,Year 9,,,,,Data science Defining data and big data Statistics and computers Legal data protection,Data and statistics,,,,,,,,Reading for meaning and exploring the author's intention,Taking responsibility for data,,,,,,,
52,Computing,Year 9,,,,,,,Representations – going audio-visual Digital representation of images and audio Mixing media,Shapes and position and time,,,,,,Writing and interpreting instructions,How different media can be used to change opinions and is influenced by cultural background,,,,,,,
53,Computing,Year 9,,,,,,,,,Cybersecurity Ethical data protection Types of cyber attacks Network vulnerabilities,Graph theory and number bases,,,,Reading for meaning Persuasive texts,Managing online information- Privacy and security,,,,,,,
54,Computing,Year 9,,,,,,,,,,,Physical computing Planning physical computing devices Connecting electrical components Programming external components,Logic and mathematical operations,,Writing and following instructions Recording actions Writing clearly,"Use of computing devices in society – privacy, availability and biases",,,,,,,
55,Computing,Year 10,Algorithms part 1 Computational thinking Representing algorithms Tracing algorithms,Mathematical operations,,,,,,,,,,,,Accurate written language,Impact of algorithms on society,,,,,,,
56,Computing,Year 10,,,Algorithms part 2 Searches Sorts Implementing algorithms,Mathematical operations,,,,,,,,,,Accurate written language,Impact of algorithms on society,,,,,,,
57,Computing,Year 10,,,,,Computer Systems 1 How a CPU works Computer storage,Logic,,,,,,,,Reading for information,History of computer system design,,,,,,,
58,Computing,Year 10,,,,,,,Computer systems 2 Computer systems Use of logic Assembly language,Logic,,,,,,Reading for information,Character sets and lack of space for other languages,,,,,,,
59,Computing,Year 10,,,,,,,,,Data representation Using different number bases Representing text Representing images and sound,Number systems and mathematical operations,,,,Writing as symbols,Storing data on computers,,,,,,,
60,Computing,Year 10,,,,,,,,,,,"Programming Part 1 IDEs Variables, input and output Expressions, selection and logic",Mathematical operations and logic,,Accurate writing,Unseen impacts on programs,,,,,,,
61,Computing,Year 11,"Programming Part 2 Loops and data validation Subroutines, functions and structure Strings, arrays and files",Mathematical operations and logic,,,,,,,,,,,,Accurate writing,Unseen impacts on programs,,,,,,,
62,Computing,Year 11,,,Cyber Security Types of cybercrime Designing defences Implementing solutions,Writing concisely,,,,,,,,,,Reading for meaning networks,Criminal behaviour,,,,,,,
63,Computing,Year 11,,,,,Databases Types of database Where are databases SQL,Large numbers statistics,,,,,,,,Persuasive texts,Storing personal data,,,,,,,
64,Computing,Year 11,,,,,,,Networks Types of networks Network protocols Internet and WWW,Mathematical operations and logic,,,,,,Accurate writing,Use of networks,,,,,,,
65,Computing,Year 11,,,,,,,,,Impacts of Technology The law and technology Cultural and environmental impacts Ethics of technology,Large numbers statistics,,,,Persuasive texts,Impacts of technology and related ethics,,,,,,,
66,Computing,Year 11,,,,,,,,,,,Review of course through programming activities Physical computing using previous areas of study,Mathematical operations and logic,,Accurate writing,Unseen impacts on programs,,,,,,,
67,Computing,Post 16,Understanding cyber security,Mathematical operations and logic,,,,,,,,,,,,Accurate written language,Impact of cyber attacks on society,,,,,,,
68,Computing,Post 16,,,Assessing different methods to keep computers safe from cyber-attacks,Mathematical operations and logic,,,,,,,,,,Accurate written language,Impact of cyber attacks on society,,,,,,,
69,Computing,Post 16,,,,,Practical ways to keep computers safe from cyber-criminals,Logic,,,,,,,,Reading for information,The importance to society of preventing cyber attacks,,,,,,,
70,Computing,Post 16,,,,,,,Practical ways to keep humans safe from cyber-criminals,Logic,,,,,,Reading for information,The importance of people being safeguarded,,,,,,,
71,Computing,Post 16,,,,,,,,,Understand the legal aspects for online business to keep data safe from cyber-criminals GDPR,Number systems and mathematical operations,,,,Writing as symbols,Storing data on computers and the GDPR legal aspects,,,,,,,
72,Computing,Post 16,,,,,,,,,,,Understand the legal aspects for online business to keep data safe from cyber-criminals Other laws,Mathematical operations and logic,,Accurate writing,Understanding the legal responsibilities of businesses,,,,,,,
73,History,Year 7,"What is history?: Historical skills, Chronology, Timelines, Types of Evidence, Reliability.",Understanding chronology. Understanding how to work out the century of a year.,,,,,,,,,,,,Use of evidence in writing.,Social and Cultural: Understanding different perspectives.,,,,,,,
74,History,Year 7,,,"The Romans: Invasion, Army, Boudicca, Towns, Everyday Life.","Understanding how Saxons, Vikings and Normans fit into the chronology of Britain.",,,,,,,,,,Explaining cause and consequence through writing.,"Spiritual, Social and Cultural: Understanding the impact of different cultures on Britain in terms of language, religion and shared history.",,,,,,,
75,History,Year 7,,,,,"Saxons, Vikings and Normans: Why the Saxons/Vikings came to Britain and what they changed, The 1066 Crisis, The Norman Conquest, What the Normans changed, controlling Britain.",Understanding the chronology of medieval English kings.,,,,,,,,Making historical comparisons through writing.,"Spiritual, Moral and Cultural: Understanding historical gender roles, church and state, religious conflict, rights of citizens.",,,,,,,
76,History,Year 7,,,,,,,"Medieval Kings: William II: Murdered?, Stephen Vs. Matilda, Henry II Vs. Thomas Becket, Richard I: The Crusades, King John: The Magna Carta, Henry III: Parliament, Edward I: Scotland & Wales.",Understanding the Medieval period in the timeline of British history.,,,,,,Being able to explain a historical environment through writing.,"Spiritual, Moral, Social, and Cultural: Understanding historical moral and social values and practices contrasted with the modern day.",,,,,,,
77,History,Year 7,,,,,,,,,"Medieval Life: Life as a Peasant, Villages and Towns, Law and Order, Entertainment, Religion and the Church, Women in Medieval Europe.",Understanding the Medieval period in the timeline of British history.,,,,Being able to explain a historical environment through writing.,"Spiritual and Cultural: Understanding how beliefs can influence everyday practices, E.g. healing and medical practices.",,,,,,,
78,History,Year 7,,,,,,,,,,,"Medieval Life Part 2: Medieval Medicine, The Black Death, The Peasants Revolt, Robin Hood: Just a Story?, The Great Names of History.",Understanding the chronology of the world in the context of European chronology.,,Writing about difference and similarity.,Spiritual and Cultural: Understanding medieval history from different perspective. Understanding religious tolerance and conflict.,,,,,,,
79,History,Year 8,"The Tudors: Richard III: Innocent or Guilty?, Henry VII: Controlling England, Henry VIII’s Six Wives, The Reformation, Edward VI: The Boy King, Mary I: Was she really “bloody”?, Elizabeth I: Challenges.",Understanding the chronology of Tudor monarchs.,,,,,,,,,,,,Evaluating interpretations.,"Spiritual, Moral, Social and Cultural: Understanding religious conflict and change.",,,,,,,
80,History,Year 8,,,"The New World: Who discovered the New World?, English Explorers, Aztec Society, How the Spanish conquered the Aztecs, Comparing the Tudors to the Aztecs.",Understanding the New World in the chronology of the Tudors.,,,,,,,,,,Comparison through writing.,"Spiritual, Moral and Cultural: Understanding the differences and similarities between Europe and the Americas.",,,,,,,
81,History,Year 8,,,,,"The Stuarts: James I: Gunpowder Plot, Witch Hunting Craze, Why did the Civil War start?, Key Battles, The Execution of Charles I, Oliver Cromwell, Charles II, Plague and Fire.",Understand the chronology of the 17th Century.,,,,,,,,Explaining cause and consequence through writing.,"Spiritual, Moral and Cultural: Understanding religious and political development and conflict.",,,,,,,
82,History,Year 8,,,,,,,"The Slave Trade: Why did Slavery Exist?, The Triangular Trade, The Middle Passage, Slave Auctions, Life as a Slave, The Road to Freedom.",Understanding slavery in the chronology of Britain.,,,,,,Description and evaluation through writing.,"Moral, Social, Cultural: Understanding the impacts of slavery.",,,,,,,
83,History,Year 8,,,,,,,,,"Industry and Reform: The Industrial Revolution, Transport, Coal Mines, Richard Arkwright and the Factory System, Was Brunel a Genius?",Reading statistics.,,,,Describing significance through writing.,Social and Cultural: Understanding economic and social changes.,,,,,,,
84,History,Year 8,,,,,,,,,,,"Industry and Reform Part 2: Workhouses, Diseases and Cures, Victorian Schools, The life of Queen Victoria, How Britain came to rule India, Scramble for Africa.",Understanding Victorian chronology.,,Make comparisons through writing.,"Moral, Social and Cultural: Understanding societal attitudes to education and leisure over time.",,,,,,,
85,History,Year 9,"The 20th Century: Key inventions, events and people.",Statistics regarding poverty.,,,,,,,,,,,,Evaluating significance and making comparisons.,Moral and Social: Understanding poverty and its social impacts.,,,,,,,
86,History,Year 9,,,"The Early 20th Century: Life of the Rich and Poor, The Suffragettes, The Titanic.",Socioeconomic and casualty statistics.,,,,,,,,,,Critical thinking through writing.,"Moral, Social and Cultural: Understanding significance of The Great War in British society and culture.",,,,,,,
87,History,Year 9,,,,,"The Great War: Long and Short-term Causes, Trench Warfare, Weapons of WWI, Were the Lions led by Donkeys?, The Home Front, The End of the War.",Election statistics.,,,,,,,,Analysing propaganda.,Moral and Social: Understanding the socioeconomic conditions that foster extremism.,,,,,,,
88,History,Year 9,,,,,,,"Nazi Germany: The Rise of the Nazis, Life in Nazi Germany, Hitler Youth, The Olympic Games 1936.",Understanding the chronology of WWII.,,,,,,Analysing causation and significance through writing.,"Moral, Social and Cultural: Understanding the causes and impacts of war.",,,,,,,
89,History,Year 9,,,,,,,,,"World War II: Appeasement, The Battle of Britain, The Coventry Blitz, Evacuation, The Key Battles of WWII.",Understanding the chronology of antisemitism.,,,,Analysing causation and significance through writing.,"Spiritual, Moral, Social and Cultural: Understand the dangers of stereotypes and discrimination.",,,,,,,
90,History,Year 9,,,,,,,,,,,"The Holocaust: The History of Antisemitism, Antisemitism in Nazi Germany, The Final Solution/Auschwitz, How we remember the Holocaust.",Analysis of statistics.,,Making comparisons through writing.,"Spiritual, Moral, Social and Cultural: Understand the impact of global political institutions and culture.",,,,,,,
91,History,Year 10,"Medicine in Britain c1250-present. Medieval Medicine: Supernatural and Religious Explanations, The Four Humours, Medieval Medics, Hospitals, The Black Death.",Understanding the chronology of the course. Understanding key statistics and dates.,,,,,,,,,,,,"Comparisons, explanations and judgments.","Spiritual, Moral, Cultural and Social: Understanding the impact of institutions and social structures on scientific practice. Understand historical processes that led to change in these institutions.",,,,,,,
92,History,Year 10,,,"The Medical Renaissance: Key Changes, Thomas Sydenham, Key Individuals, Prevention and Treatment, Care, The Great Plague.",Understanding key statistics and dates.,,,,,,,,,,"Comparisons, explanations and judgments.",Social and Cultural: Understand factors that lead to scientific and cultural change.,,,,,,,
