Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 8,Autumn 1,Mask Making: Development of a 2 dimensional image into a three dimensional artwork. Study venetian mask makers,"Written artist study, analysis of artwork.",Measure.,"Pupils reflect on nature, their environment and surroundings."
Year 8,Autumn 2,Colour and abstraction: Colour mixing and how to develop a piece of abstract art. Artist Study Kandinsky.,Artist Study Kandinsky.,N/A,Pupils begin to learn how to “read” and understand a piece of art in order to relate to a concept/idea within the piece that conveys a meaning.
Year 8,Spring 1,"Colour and Still Life: Record from direct observation and learn effective techniques when exploring elements such as line, tone, shape, pattern, texture and colour.",Analysis of artwork.,N/A,Pupils ask questions about art and communicate their ideas and feelings.
Year 8,Spring 2,Abstract landscapes: Development of ideas.,Analysis of artwork.,N/A,Pupils explore their own ideas and meaning in order to promote self identity.
Year 8,Summer 1,Fantasy Architecture: Single point and double point perspective,Analysis of artwork.,N/A,Students support each other in a variety of projects to enhance team working skills.
Year 8,Summer 2,"Harry Potter Wands: Research skills, development of ideas.",Analysis of artwork.,N/A,Students discuss a range of artists and art work and  encouraging and developing communication skills.
Year 9,Autumn 1,Papier Mache heads: I can closely observe an image of half of my face and reproduce it in reverse. I can sculpt a representation of a head in papier mache.,Artwork analysis.,"Proportion, scale.",Pupils are encouraged to explore their own ideas and meaning in order to promote self identity.
Year 9,Autumn 2,"GCSE coursework - Julian Opie: sketchbook presentation, claywork, Artist study) Caras Ionut (Photography, Digital artwork, Watercolour painting, Artist study)",Artwork analysis.,N/A,"Pupils identify how beliefs, values and meanings are expressed and shared through art."
Year 9,Spring 1,"GCSE Coursework - Octavio Ocampo: Octavio Ocampo, (photography, Artist study) Lucien Freud (painting, artist study) Luke Dixon (Drawing, zentangle project, artist study)",Artwork analysis.,N/A,Pupils ask questions about art and communicate their ideas and feelings.
Year 9,Spring 2,"GCSE Coursework - Kathe Kollwitz Kathe Kollwitz (Lino Printing, cross hatching, artist study) Levi Van Veluw (sculpture,, artist study",Artwork analysis.,N/A,Pupils are encouraged to explore their own ideas and meaning in order to promote self identity.
Year 9,Summer 1,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study",Artwork analysis.,N/A,Pupils are encouraged to explore their own ideas and meaning in order to promote self identity.
Year 9,Summer 2,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study",Artwork analysis.,N/A,Pupils are encouraged to explore their own ideas and meaning in order to promote self identity.
Year 10,Autumn 1,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study.","Artist study, to record observations about art using written methods.",N/A,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Year 10,Autumn 2,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study.","Artist study, to record observations about art using written methods.",N/A,Pupils use different resources and equipment to develop creative responses and express personal opinions.
Year 10,Spring 1,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study.","Artist study, to record observations about art using written methods.",N/A,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Year 10,Spring 2,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study.","Artist study, to record observations about art using written methods.",N/A,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Year 10,Summer 1,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study.","Artist study, to record observations about art using written methods.",N/A,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Year 10,Summer 2,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study.","Artist study, to record observations about art using written methods.",N/A,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Year 11,Autumn 1,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study.","Artist study, to record observations about art using written methods.",N/A,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Year 11,Autumn 2,"GCSE Coursework - Independent artist study painting, clay, printing, collage, sculpture etc artist study.","Artist study, to record observations about art using written methods.",N/A,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Year 11,Spring 1,Independent exam study,"Artist study, to record observations about art using written methods.",N/A,Development of ideas.
Year 11,Spring 2,Independent exam study,"Artist study, to record observations about art using written methods.",N/A,Development of ideas.
Year 11,Summer 1,Independent exam study,"Artist study, to record observations about art using written methods.",N/A,Development of ideas.
Year 11,Summer 2,Independent exam study,"Artist study, to record observations about art using written methods.",N/A,Development of ideas.
Post 16,Autumn 1,Sculpture,"Written answers in workbooks, annotation in sketchbook.",Proportion.,Pupils ask questions about art and communicate their ideas and feelings.
Post 16,Autumn 2,Drawing,"Written answers in workbooks, annotation in sketchbook.",Proportion.,Pupils investigate visual and tactile sensory qualities of their own work and that of others.
Post 16,Spring 1,Painting with water based media,"Written answers in workbooks, annotation in sketchbook.",Proportion.,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Post 16,Spring 2,Printmaking,"Written answers in workbooks, annotation in sketchbook.",Proportion.,Pupils ask questions about art and communicate their ideas and feelings.
Post 16,Summer 1,Working with mixed media,"Written answers in workbooks, annotation in sketchbook.",Proportion.,Pupils think independently about how to develop and express their ideas in an appropriate manner.
Post 16,Summer 2,Working with mixed media,"Written answers in workbooks, annotation in sketchbook.",Proportion.,Pupils use different resources and equipment to develop creative responses and express personal opinions.
