Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 10,Spring 2,"C20th Medicine: Genetics, Lifestyle, Technology and Diagnosis, Penicillin, Magic Bullets, NHS, Modern Health Issues.","Describing key features. Evaluating sources.","Understanding key statistics and dates.","Social and Cultural: Understand scientific and social change through extreme situations."
Year 10,Summer 1,"The British Sector of the Western Front 1914-18: Ypres, the Somme, Arras and Cambrai, the Trench System, The Nature of Wounds, the RAMC and FANY, Dressing Stations, New Techniques.","Describing key features, explanations and judgments.","Understanding the chronology of the course. Understanding key statistics and dates.","Spiritual and Cultural: Understanding religious history, conflict and culture. Understanding factors that lead to international conflict."
Year 10,Summer 2,"Early Elizabethan England 1558-88: Queen, Government and Religion: Accession, Religious Settlement and Challenges, Mary Queen of Scots.","Describing key features, explanations and judgments.","Understanding key statistics and dates.","Social, Moral and Cultural: Understanding factors leading to socioeconomic changes."
Year 11,Autumn 1,"Weimar and Nazi Germany 1918-39. The Weimar Republic: Origins of the Republic, Early Political and Economic Challenges, The 1923 Crisis and Recovery, Changes in Society and the “Golden Age”.","Inferences, source analysis and interpretation.","Understanding the chronology of the course. Understanding key statistics and dates.","Social and Cultural: Understanding political spectrum, parties, constitutions and government. Understanding socioeconomic strains on populations."
Year 11,Autumn 2,"Hitler’s Rise to Power: Early Development of the Nazi Party, the Munich Putsch, The Lean Years, 1929 and the Rise in Nazi Support, Hitler Becomes Chancellor.","Explanation and use of interpretation in writing.","Understanding key statistics and dates.","Spiritual, Moral, Social and Cultural: Understanding the impact of political propaganda and totalitarian institutions upon different sections of society. Understand minority persecution."
Year 11,Spring 1,"Nazi Control and Dictatorship: The Creation of a Dictatorship, The Police State, the Legal System and the Church, Controlling and Influencing, Opposition and Resistance.","Explanation, Cause and Consequence, Narrative.","Understanding the Chronology of the course. Understanding key statistics and dates.","Moral, Social and Cultural: Understanding of international relations, politics and institutions."
Year 11,Spring 2,"Superpower Relations and the Cold War 1941-91. The Origin of the Cold War: Early Tension Between East and West, The Development of the Cold War, The Cold War Intensifies.","Explanation, Cause and Consequence, Narrative.","Understanding the Chronology of the course. Understanding key statistics and dates.","Moral, Social and Cultural: Understanding of international relations, politics and institutions."
Year 11,Summer 1,"Cold War Crises 1958-70: Increased Tension Between East and West, Cold War Crises, Reaction to the Crises.","Comparisons, explanations, judgments, describing key features, inferences, source analysis and historical interpretations.","Chronology and statistics.","Impacts of technology and related ethics."
Year 11,Summer 2,"The End of the Cold War 1970-91: Attempts to Reduce Tension Between East and West, Flashpoints, The Collapse of Soviet Control in Eastern Europe, Collapse of the Soviet Union.","Comparisons, explanations, judgments, describing key features, inferences, source analysis and historical interpretations.","Chronology and statistics.","Unseen impacts on programs."

