Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 8,Autumn 1,"Coasts, Definition, human and natural features of a coastline Waves, erosions and deposition.","Natural coastal features vocabulary, swash, uprush, backwash, fetch, erosion, deposition.","Cultural identity, seaside holidays.","Looking after our planet."
Year 8,Autumn 2,"Tourism, Advantages and disadvantages National parks Eco Tourism","Geographical vocabulary: industrial revolution, settlement, village, town, rural, urban, urbanisation.","Tables, graphs, temperature, averages, distance and altitude.","Appreciate how their country has developed."
Year 8,Spring 1,"Weather and Climate, What’s the difference? What causes weather? Factors that influence climate.","Geographical vocabulary: atmosphere, condense, evaporate, fog, hailstones, mist, sleet, snow, troposphere, water vapour, wind.","Population – millions and billions. Tables and graphs.","Broaden knowledge of other ethnicities."
Year 8,Spring 2,"Urbanisation, Comparing populations, growth and urbanisation across the world.","Geographical vocabulary: diversity, ethnic groups, GDP.","Percentages – population comparisons.","Awareness of other cultures."
Year 8,Summer 1,"Asia. Review continents. Countries within Asia, physical features and biomes.","Geographical vocabulary: cold deserts, monsoon rains, monsoon winds, exports, GDP, one-child policy, slum, urban, rural, biodiversity","Environmental quality survey (analysis of land, local school/ area).","Understanding of others."
Year 8,Summer 2,"China, Focus on southwest China, human and physical features","Geographical vocabulary: renewable, non-renewable, resources, water, soil.","Tables and graphs.","Develop curiosity."
Year 9,Autumn 1,"Our Restless Planet, Structure and plate tectonics.","Geographical vocabulary: oceanic and continental crust, mantle, core, granite, basalt, trench, lithosphere, convection current.","Measurements in km and degrees celsius.","Awe and wonder for our planet."
Year 9,Autumn 2,"Volcanoes, Earthquakes and Tsunamis","Geographical vocabulary: earthquake, volcano, seismic activity, epicentre, aftershock, seismometer, magnitude, tsunami, volcano, magma, lava, viscous, vent, pyroclastic flow.","Extreme weather and its effects on people and the environment.","Appreciate destruction caused by natural disasters."
Year 9,Spring 1,"Our Warming Planet, Climate change, greenhouse effect, changes in different parts of the world.","Geographical vocabulary: evolution, ice age, hemisphere, tundra, permafrost, atmosphere, carbon dioxide, greenhouse gases, climate, ice sheets, sea levels, emissions.","Rainfall in mm and cm, temperature.","Social and personal responsibility to protect the planet."
Year 9,Spring 2,"Earth’s Resources, Renewable and non renewable resources. Water and soil.","Geographical vocabulary: fresh water, ground water, water scarcity, infrastructure, irrigate, water cycle, grey water, desalination, soil, nutrients, erosion, desertification.","Varied uses to help people and animals.","Experience curiosity."
Year 9,Summer 1,"GIS, Interpret maps, aerial views and GIS.","Geographical vocabulary: geographical information system, cesspool, cholera, sewage, crime hotspot, data, longitude and latitude, satellite image, GPS.","Varied uses to help people and animals.","Social responsibility."
Year 9,Summer 2,"International Development, LEDCs and MEDCs Define, explore causes and effects and compare by continent.","Geographical vocabulary: hemisphere, natural resources, climate, agriculture, economy, financial resources, urban, rural, diseases.","Analyse and interpret data.","Appreciate how other people live in different parts of the world."
