Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 7,Summer 1,"Hobbies, Likes / dislikes, Food","Creating extended sentences","Times, numbers","Opportunities to be inquisitive"
Year 7,Summer 2,"Hobbies, Likes / dislikes, Food","Creating extended sentences","Times, numbers","Opportunities to be inquisitive"
Year 8,Autumn 1,"Sports and Hobbies, Talking about the internet using er verbs","Using verbs","Grammar, spelling","Knowledge of French sports and culture"
Year 8,Autumn 2,"Sports and Hobbies, Talking about the internet using er verbs","Using verbs","Grammar, spelling","Knowledge of French sports and culture"
Year 8,Spring 1,"Local Area, Places in the town, Directions","Giving opinions and reasons","Grammar, spelling","Understanding of French culture"
Year 8,Spring 2,"Local Area, Places in the town, Directions","Giving opinions and reasons","Grammar, spelling","Understanding of French culture"
Year 8,Summer 1,"Paris, Saying you like doing and can do, Tourist information","Extended opinion sentences, Connectives and qualifiers","Money and prices","Understanding of French culture"
Year 8,Summer 2,"Paris, Saying you like doing and can do, Tourist information","Extended opinion sentences, Connectives and qualifiers","Money and prices","Understanding of French culture"
Year 9,Autumn 1,"Where you go and what activities you do on holiday, Weather, Er verbs","Creating extended sentences","Money and change","Experience sense of belonging"
Year 9,Autumn 2,"Where you go and what activities you do on holiday, Weather, Er verbs","Creating extended sentences","Money and change","Experience sense of belonging"
Year 9,Spring 1,"Holiday questions and answers, Clothes and items to pack for a holiday, Past holiday experiences","Tenses","English and French spellings","Understanding of French culture"
Year 9,Spring 2,"Holiday questions and answers, Clothes and items to pack for a holiday, Past holiday experiences","Tenses","English and French spellings","Understanding of French culture"
Year 9,Summer 1,"Parts of the body, Illnesses and injuries, Visiting a doctor/pharmacy","Conversation skills","Weights, prices","Recognising & accepting difference & diversity"
Year 9,Summer 2,"Parts of the body, Illnesses and injuries, Visiting a doctor/pharmacy","Conversation skills","Weights, prices","Recognising & accepting difference & diversity"
Year 10,Autumn 1,"All about me, Relationships","Tenses","Times and dates","Understanding the value of relationships"
Year 10,Autumn 2,"All about me, Relationships","Tenses","Times and dates","Understanding the value of relationships"
Year 10,Spring 1,"Education","Extended sentences","Tenses","Values of school community"
Year 10,Spring 2,"Education","Extended sentences","Tenses","Values of school community"
Year 10,Summer 1,"Future plans","Extended sentences","Tenses","Recognising & accepting difference & diversity"
Year 10,Summer 2,"Future plans","Extended sentences","Tenses","Recognising & accepting difference & diversity"
Year 11,Autumn 1,"Environment","Tenses","Extended sentences","Appreciate the natural world"
Year 11,Autumn 2,"Environment","Tenses","Extended sentences","Appreciate the natural world"
Year 11,Spring 1,"Healthy lifestyle, Social Issues","Extended sentences","Tenses","Developing individual self-evaluation"
Year 11,Spring 2,"Healthy lifestyle, Social Issues","Extended sentences","Tenses","Developing individual self-evaluation"
Year 11,Summer 1,"Free time and the media","Tenses","Extended sentences","Recognising & accepting difference & diversity"
Year 11,Summer 2,"Free time and the media","Tenses","Extended sentences","Recognising & accepting difference & diversity"

